Site,Event,Preferred,Old,Young,Longitude,Latitude
calaveras_north,Y,1292.5,1160.0,1425.0,-121.8346,37.51039
calaveras_north,X,845.0,410.0,1280.0,-121.8346,37.51039
calaveras_north,W,386.0,132.0,640.0,-121.8346,37.51039
calaveras_north,V,-70.0,-520.0,380.0,-121.8346,37.51039
compton,1,725.0,200.0,1250.0,-118.262921,33.965991
compton,2,-700.0,-1450.0,50.0,-118.262921,33.965991
compton,3,-4450.0,-5250.0,-3650.0,-118.262921,33.965991
compton,4,-4950.0,-6450.0,-3450.0,-118.262921,33.965991
compton,5,-9450.0,-10550.0,-8350.0,-118.262921,33.965991
compton,6,-10050.0,-11750.0,-8350.0,-118.262921,33.965991
elsinore_glen_ivy,E1,1910.0,1910.0,1910.0,-117.4909,33.7701
elsinore_glen_ivy,E2,1742.0,1627.0,1857.0,-117.4909,33.7701
elsinore_glen_ivy,E3,1514.0,1440.0,1588.0,-117.4909,33.7701
elsinore_glen_ivy,E4,1351.0,1283.0,1419.0,-117.4909,33.7701
elsinore_glen_ivy,E5,1260.0,1230.0,1290.0,-117.4909,33.7701
elsinore_glen_ivy,E6,1039.5,963.0,1116.0,-117.4909,33.7701
elsinore_julian,MRE,200.0,450.0,-50.0,-116.7273,33.2071
elsinore_julian,PEN,-1300.0,-1050.0,-1550.0,-116.7273,33.2071
elsinore_julian_lk_henshaw,MRE,750.0,250.0,1250.0,-117.0097,33.35683
elsinore_temecula,X,1732.5,1655.0,1810.0,-117.04,33.41
elsinore_temecula_old,T,-1050.0,-1350.0,-750.0,-117.04,33.41
elsinore_temecula_old,P,-1300.0,-1550.0,-1050.0,-117.04,33.41
elsinore_temecula_old,L,-2050.0,-2550.0,-1550.0,-117.04,33.41
garlock_central,E1,1545.0,1450.0,1640.0,-117.6815,35.4441
garlock_central,E2,812.5,675.0,950.0,-117.6815,35.4441
garlock_central,E3,362.5,250.0,475.0,-117.6815,35.4441
garlock_central,E4,150.0,25.0,275.0,-117.6815,35.4441
garlock_central,E5,-3135.0,-3340.0,-2930.0,-117.6815,35.4441
garlock_central,E6,-4835.0,-5000.0,-4670.0,-117.6815,35.4441
garlock_central_searles,MRE,1490.0,1490.0,,-117.372841,35.523424
garlock_western,A,1685.0,1520.0,1850.0,-118.508,34.9868
garlock_western,C,1075.0,600.0,1550.0,-118.508,34.9868
garlock_western,E,390.0,160.0,620.0,-118.508,34.9868
garlock_western,I,-2700.0,-3300.0,-2100.0,-118.508,34.9868
garlock_western,K,-2950.0,-3500.0,-2400.0,-118.508,34.9868
green_valley_lopes_ranch,E1,1609.0,1510.0,1721.0,-122.122902,38.132456
green_valley_lopes_ranch,E2,238.0,147.0,322.0,-122.122902,38.132456
green_valley_lopes_ranch,E3,-18.0,-91.0,54.0,-122.122902,38.132456
green_valley_mason_road,E1,1605.0,1439.0,1772.0,-122.163795,38.240934
green_valley_mason_road,E2,1325.0,1245.0,1415.0,-122.163795,38.240934
green_valley_mason_road,E3,1164.0,1120.0,1205.0,-122.163795,38.240934
green_valley_mason_road,E4,1013.0,927.0,1075.0,-122.163795,38.240934
hayward_north,E1,1713.0,1650.0,1776.0,-122.2977,37.9306
hayward_north,E2,1250.0,1070.0,1430.0,-122.2977,37.9306
hayward_north,E3,885.0,820.0,950.0,-122.2977,37.9306
hayward_north,E4,660.0,530.0,790.0,-122.2977,37.9306
hayward_north,E5,375.0,100.0,650.0,-122.2977,37.9306
hayward_north,E6,225.0,-50.0,500.0,-122.2977,37.9306
hayward_north,E7,-145.0,-250.0,-40.0,-122.2977,37.9306
